transaction_id,user_id,transaction_amount,transaction_time,merchant_catrgory,location,device_type,payment_method,is_international,previous_transaction_gap,user_avg_spend,transaction_frequency,is_fraud
0,1102,318.46,2026-02-07 01:44:37.357248,Shopping,Germany,Tablet,UPI,0,19,139.99,11,0
1,1087,81.21,2026-02-18 13:41:37.359244,Shopping,UK,Desktop,UPI,0,22,122.56,12,0
2,1413,47.74,2026-03-28 17:33:37.359378,Food,UK,Tablet,UPI,1,33,221.7,12,0
3,1856,68.84,2026-03-14 14:26:37.359538,Travel,UK,Tablet,Card,0,28,489.5,15,0
4,1189,19.0,2026-03-07 13:51:37.359630,Shopping,USA,Mobile,Card,0,55,493.29,3,0
5,1484,187.07,2026-01-24 13:28:37.359702,Entertainment,USA,Mobile,Wallet,0,18,479.55,14,0
6,1241,97.36,2026-03-15 19:47:37.359767,Bill,USA,Desktop,Wallet,0,20,196.41,7,0
7,1427,136.71,2026-02-04 19:27:37.359827,Food,India,Desktop,Netbanking,0,50,365.01,2,0
8,1389,46.62,2026-02-23 14:49:37.359894,Entertainment,India,Mobile,UPI,0,18,410.05,2,0
9,1201,450.43,2026-03-09 18:38:37.359950,Travel,Canada,Tablet,Wallet,1,8,328.18,8,0
10,1724,98.43,2026-02-08 23:39:37.360012,Travel,Canada,Desktop,UPI,0,24,242.7,13,0
11,1040,70.27,2026-02-17 21:36:37.360069,Shopping,Germany,Tablet,Wallet,0,7,269.36,1,0
12,1647,1.11,2026-03-28 18:26:37.360126,Food,USA,Mobile,Wallet,0,8,391.6,1,0
13,1378,15.39,2026-03-13 18:30:37.360181,Entertainment,UK,Desktop,Netbanking,0,28,445.24,8,0
14,1779,80.36,2026-01-29 12:29:37.360238,Travel,Canada,Tablet,Wallet,0,24,366.37,12,0
15,1871,64.24,2026-02-11 09:32:37.360293,Shopping,Germany,Tablet,Wallet,0,47,385.3,1,0
16,1004,164.78,2026-03-27 14:54:37.360348,Shopping,USA,Mobile,UPI,0,27,309.09,15,0
17,1857,5.15,2026-02-25 06:08:37.360403,Food,USA,Tablet,UPI,0,32,354.56,4,0
18,1733,30.01,2026-02-10 11:34:37.360458,Bill,India,Mobile,Netbanking,0,43,181.22,13,0
19,1159,182.69,2026-01-26 12:58:37.360513,Shopping,India,Desktop,Card,0,2,349.74,6,0
20,1795,325.59,2026-02-12 09:21:37.360567,Food,USA,Mobile,Wallet,0,11,229.74,7,0
21,1189,23.32,2026-02-14 00:02:37.360622,Food,Germany,Mobile,UPI,0,52,241.03,3,0
22,1358,35.98,2026-03-28 13:54:37.360678,Entertainment,Canada,Tablet,Netbanking,0,37,376.97,10,0
23,1683,55.98,2026-02-09 08:34:37.360731,Bill,USA,Tablet,Netbanking,0,32,323.24,17,0
24,1829,713.56,2026-02-17 08:41:37.360785,Shopping,USA,Tablet,Card,0,39,298.9,17,0
25,1612,67.05,2026-01-26 15:40:37.360841,Food,USA,Tablet,Wallet,0,2,301.07,5,0
26,1735,477.77,2026-02-27 23:27:37.360898,Bill,UK,Mobile,Card,0,44,279.11,6,0
27,1415,179.64,2026-02-23 20:22:37.360954,Entertainment,India,Mobile,Netbanking,0,59,196.86,6,0
28,1279,127.09,2026-02-14 18:31:37.361010,Entertainment,USA,Mobile,Wallet,0,48,419.34,9,0
29,1123,141.94,2026-02-24 13:01:37.361064,Food,India,Desktop,UPI,0,20,230.38,4,0
30,1402,248.37,2026-01-24 22:22:37.361119,Bill,Germany,Desktop,UPI,0,32,138.47,9,0
31,1928,101.36,2026-01-29 21:10:37.361173,Shopping,USA,Tablet,UPI,1,1,370.28,18,0
32,1150,155.94,2026-02-18 06:11:37.361227,Shopping,Canada,Mobile,UPI,0,16,426.89,17,0
33,1001,1117.4,2026-03-17 21:12:37.361281,Travel,Germany,Mobile,Netbanking,1,59,175.48,9,0
34,1098,241.03,2026-02-24 17:17:37.361334,Bill,Canada,Mobile,UPI,1,24,261.8,1,0
35,1919,380.67,2026-03-09 16:53:37.361388,Bill,USA,Desktop,UPI,0,40,342.57,3,0
36,1111,21.4,2026-02-03 11:06:37.361440,Travel,UK,Desktop,UPI,1,18,164.32,18,0
37,1705,235.46,2026-02-17 23:09:37.361493,Bill,UK,Tablet,UPI,1,36,384.87,1,0
38,1397,78.73,2026-03-29 15:37:37.361547,Travel,Germany,Mobile,UPI,0,8,439.69,17,0
39,1639,168.01,2026-02-11 17:53:37.361601,Shopping,Germany,Tablet,Wallet,0,22,206.08,14,0
40,1669,722.46,2026-03-30 00:48:37.361654,Travel,India,Tablet,Netbanking,0,8,352.46,2,0
41,1276,139.69,2026-03-04 18:54:37.361709,Bill,India,Tablet,Netbanking,0,5,192.07,16,0
42,1658,169.73,2026-02-09 05:00:37.361763,Travel,USA,Desktop,Netbanking,1,30,481.57,6,0
43,1098,275.44,2026-03-08 22:16:37.361817,Shopping,UK,Desktop,Netbanking,1,49,321.11,3,0
44,1699,383.48,2026-02-14 18:38:37.361872,Travel,UK,Desktop,UPI,0,32,440.45,3,0
45,1127,93.26,2026-03-09 16:19:37.361928,Entertainment,Germany,Mobile,Wallet,1,58,472.01,14,0
46,1791,46.87,2026-03-29 15:10:37.361983,Entertainment,USA,Tablet,UPI,1,2,201.67,10,0
47,1385,77.88,2026-03-13 03:33:37.362038,Food,Germany,Tablet,Wallet,0,43,383.56,7,0
48,1476,70.34,2026-02-25 21:55:37.362085,Bill,UK,Mobile,Card,1,25,344.61,7,0
49,1824,197.72,2026-03-30 18:36:37.362133,Food,USA,Mobile,UPI,0,46,418.32,12,0
50,1882,82.5,2026-03-23 02:41:37.362181,Food,Germany,Mobile,Wallet,0,32,331.31,19,0
51,1664,33.69,2026-02-25 11:44:37.362229,Shopping,India,Mobile,Card,1,58,112.2,10,0
52,1837,72.27,2026-03-21 18:26:37.362276,Travel,Germany,Mobile,UPI,0,33,431.15,12,0
53,1619,195.04,2026-01-30 20:09:37.362326,Bill,Germany,Desktop,UPI,1,32,312.54,15,0
54,1866,202.91,2026-02-09 08:41:37.362376,Shopping,UK,Desktop,Card,0,50,306.52,19,0
55,1656,101.77,2026-02-05 02:50:37.362425,Travel,Germany,Mobile,Netbanking,0,55,200.34,9,0
56,1907,105.17,2026-02-14 03:47:37.362475,Food,Canada,Desktop,Netbanking,1,47,200.1,16,0
57,1600,215.88,2026-03-30 02:21:37.362529,Food,Canada,Desktop,Netbanking,0,5,344.69,3,0
58,1075,166.96,2026-02-12 11:22:37.362574,Bill,Germany,Desktop,Netbanking,0,57,236.75,5,0
59,1046,8.32,2026-01-24 18:23:37.362624,Shopping,USA,Tablet,Netbanking,1,5,289.67,16,0
60,1340,128.29,2026-02-16 20:12:37.362664,Food,UK,Desktop,Wallet,0,37,259.4,10,0
61,1757,201.62,2026-02-12 22:19:37.362703,Bill,Canada,Desktop,Netbanking,0,10,350.34,1,0
